Type of Hemp Business,Name of Primary Contact,Name of Hemp Company,Company town,Company state,Company zip code,Title,Phone Number,Email ,Username,Password
Hemp Seed,Paige Roberts,Fry and Sons,East Kyleshire,MA,36376,Founder,(687) 575-1447,gemmell@live.com,emptysauces,TJ$k9Zfb
Hemp Protein,Joseph Simpson,Diaz-Moyer,West Rick,MA,02749,Chief Financial Officer,(298) 488-7173,khris@yahoo.com,resignedbutternut,pW?82Z8W
Hemp Plastics,Mr. Nicholas Ward MD,Davis-Williams,Michaelfurt,VT,85285,Chief Marketing Officer,(963) 548-9298,manuals@live.com,indignantsaveloy,*KbPU8%X
Hemp Fiber,Melanie Weber,Fisher PLC,Robertchester,NE,73890,Chief Cultivator,(708) 949-1787,nimaclea@icloud.com,loathsomesourdough,YV5jU*pM
Hemp Protein,Ryan Harris,Gutierrez-Davis,East Carmenfort,NE,57288,Chief Cultivator,(897) 498-0606,scottzed@comcast.net,shycabbage,x?2N]3WP
Hemp Oil,Amy Sanchez,"Sanchez, Rios and Bailey",Reillymouth,MN,04493,Chief Marketing Officer,(451) 459-2523,jrkorson@me.com,homesicktapioca,Cb4Xp/mB
Hemp Protein,Stacy Griffith,Sharp-Lewis,East Matthew,NV,68613,Chief Cultivator,(546) 656-9100,kronvold@att.net,devastatedavocados,A6a>N*YM
Hemp Seed,Austin Moss,Craig-Gomez,South Patriciaport,NM,23302,Founder,(853) 382-8090,empathy@comcast.net,distressednachos,>4)XW7wk
Hemp Textiles,Kurt Boyd,"George, Berry and Clark",Martinezside,IL,03301,Chief Marketing Officer,(980) 878-8219,cantu@verizon.net,satisfiedkumquats,H7=y9*q)
Hemp Seed,Thomas Brooks,Frey-Allen,East Nicole,CT,83793,Founder,(773) 674-3475,jdhedden@aol.com,ecstaticcrumble,F(Ma7Ngy
Hemp Protein,Debbie Meza,Coleman-Crosby,Hurstfort,PA,71111,Founder,(761) 358-7751,makarow@aol.com,perturbedpepper,ypHcH8)a
Hemp Oil,Ann Dillon,Pham-Wilson,Port Natalie,WY,40210,Founder,(566) 862-9499,skajan@comcast.net,exuberantcake,JbX8/]zt
Hemp Plastics,Jeff Benjamin,Swanson-Weaver,Lake Zachary,WV,01394,Chief Financial Officer,(855) 258-9104,jguyer@sbcglobal.net,gleefulpudding,6rM}(>$8
Hemp Seed,Patricia Griffin,Hayes PLC,New Christopher,OK,56021,Chief Cultivator,(236) 208-0535,horrocks@aol.com,cheerfulpineapple,rYvxRX3)
Hemp Seed,Mr. Colin Lynch,"Andrews, Clark and Walton",South Erinmouth,IA,64894,Chief Financial Officer,(495) 203-3223,helger@yahoo.com,dopeyleeks,er(5tR%U
Hemp Seed,Kimberly Torres,"Wright, Sheppard and Garcia",Lake Jamesmouth,VA,21092,Chief Cultivator,(543) 941-3449,slanglois@msn.com,adoringcress,T9(k9N[C
